ID;Nom usuel
13037001;La Fare Les Oliviers
13047001;Istres
13050001;Lambesc
13053002;Mallemort
13054001;Marignane
13055001;Marseille-obs
13055025;Marseille
13062002;Mimet
13077001;Port-de-bouc-sj
13080001;Le-puy-ste-repa
13085001;Roquefort-la-bedoule
13091001;St Cannat
13097002;St-martin-crau
13100002;St-remy-de-provence
13103001;Salon De Provence
13108004;Tarascon
13110003;Trets
13111002;Vauvenargues
14020002;Argences
14055002;Beaumont En A.
14137001;Caen-carpiquet
14216001;Damblainville
14239001;Englesqueville
14291002;Fresney Le Vieu
14296001;Legast_sapc
14366002;Lisieux_sapc
14372001;Livry
14431002;Mezidon-canon
14501002;Pierrefitte Cin_sapc
14515001;Port En Bessin
14578001;St Gatien Des B
14579002;Saint Georges D
14584001;Saint Germain D
14624001;L Oudon Lieury_sapc
14634001;Saint Michel De
14659001;St Sylvain_sapc
14665001;Sallenelles
14727001;Vaubadon
15014004;Aurillac
15050001;Le Claux
15053001;Coltines
15060001;Deux-verg
15067001;Le Fau
15114002;Marcenat
15118002;Marmanhac
15119001;Massiac
15120001;Mauriac-moulin
15120005;Mauriac
15122002;Maurs
15168001;Ruynes - Gendar
15168003;Ruynes
15169001;Saignes
15181001;St Constant
15187006;St Flour
15219001;Salers
15231001;Talizat
15248001;Valuejols
16025003;Baignes Bel Air
16052001;Bors
16061003;Brie
16089001;Cognac
16113001;La Couronne
16171001;Juillac-le-coq
16211002;Marthon
16225001;Montemboeuf
16226001;Montignac
16256001;Passirac
16259002;La Peruse
16279001;Rioux Martin
16280001;Rivieres
16283002;Ronsenac
16292001;Ruffec
16297001;Graves-saint-amant
16318001;St Front
16346001;St Quentin De C
16360001;Salles De Barb
16363001;Saulgond_sapc
16366001;Segonzac_sapc
16390001;Tusson
16397001;Verdille
16403001;Le Vieux Cerier_sapc
17004001;Ile-d Aix
17050001;Bois
17053001;Bords
17093002;Chateau D'oleron
17121001;Couarde Sur Mer
17218001;Marans
17224001;Matha
17236001;Mirambeau
17243002;Montlieu_sapc
17268002;Nuaille Sur Boutonne
17300001;La Rochelle
17300009;La Rochelle-ile De Re
17306004;Royan-medis
17308001;St Agnant
17323001;Chassiron
17339002;St Germain De Lusignan
17353001;St-laurent Pree-inra
17415003;Saintes
17418001;Salignac
17421001;Saujon
17434002;Surgeres
17477001;Villiers_sapc
18015003;Aubigny-sur-nere
18033001;Bourges
18039001;Bue
18057003;Chateaumeillant
18059001;Le Chatelet
18066002;Civray
18087001;Dun
18087003;Dun-sur-auron
18090001;Etrechy
18092001;Avord
18103001;Gracay
18109002;Henrichemont
18125004;Lere
18127001;Lignieres
18135001;Maisonnais
18137001;Mareuil
18159001;Nancay
18165001;Neuvy-sur-bar.
18172001;Orval
18175001;Ourouer-les-b.
18175003;Ourouer
18187004;Preveranges
18190001;Quincy
18197004;St-amand-mtrond
18223003;St-martin-d'a.
18241002;Sancerre
18242001;Sancoins
18251001;Sevry
18269001;Vailly
18269003;Vailly/sauldre
18279001;Vierzon - Veves
18279005;Vierzon
19010001;Argentat
19019001;Beaulieu S/dor.
19029001;Branceilles
19031008;Brive
19033001;Bugeat
19036001;Chamberet
19073001;Egletons-mart.
19073006;Egletons
19121002;Lubersac
19125001;Marcillac
19134001;Merlines
19136002;Meymac
19146001;Naves
19164001;Peyrelevade
19237001;St-privat
19272001;Tulle
19275001;Ussel-lamartine
19275004;Ussel-les Plaines
19276006;Uzerche
20004002;Ajaccio
20004003;Ajaccio-parata
20031001;Bastelica-village
20040001;Bocognano-gare
20041001;Cap Pertusato
20047001;Calacuccia-gend
20050001;Calvi
20083001;Castirla
20092001;Conca
20093002;Ile Rousse
20096005;Corte_fdf
20108001;Evisa-village
20108002;Evisa-onf
20114002;Figari
20121001;Galeria-gend
20148001;Bastia
20223001;Pietralba
20232001;Pila Canale-gend
20232002;Pila-canale
20246001;La Porta-gend
20247001;La Chiappa
20258001;Renno
20268001;Sampolo
20272004;Sartene
20281001;Cap Sagro
20284001;Sollacaro
20342001;Solenzara
21010001;Aloxe Corton
21038001;Auxonne
21043001;Baigneux Les Juifs
21106001;Bretenieres_inra
21154001;Chatillon/seine
21228001;Detain-et-bruant
21390001;Marsannay La Cote
21425001;Montbard_sapc
21473001;Dijon-longvic
21501003;Pouilly En Aux_sapc
21515001;Quetigny
21527001;La Rochepot
21561003;St-martin-du-m
21564001;St Nic. Citeaux
21567001;Arnay_sapc
21590001;Savigny Les Bea
22032002;Caulnes-edf
22033001;Caurel-edf
22092001;Kerpert
22108001;Lanleff
22113006;Lannion_aero
22135001;Louargat
22136001;Loudeac
22147006;Merdrignac
22168001;Ploumanac'h
22203002;Ploeuc-sur-lie
22219003;Plouguenast
22223002;Plouisy
22247002;Pommerit-jaudy
22261002;Quintenic
22263001;Le Quiou
22266001;Rostrenen
22278005;Saint Brieuc
22282001;Saint-cast-le-g
22372001;St Brieuc
23008004;Aubusson_sapc
23013001;Auzances_sapc
23021001;Benevent_sapc
23025001;Bonnat
23030004;Bourganeuf
23031002;Boussac_sapc
23045001;Chambon Voueize
23067001;La Courtine
23079002;Felletin
23093001;Gouzon
23096001;Gueret Bongeot
23096008;Gueret Courtil
23118001;Maisonnisses
23155001;Pontarion_sapc
23176001;La Souterraine
23257001;Vallieres
24035003;Belves
24037001;Bergerac Tabac
24037005;Bergerac
24133002;La Coquille
24335001;Port Ste Foy
24336001;Prats De Carlux
24376001;St Aulaye
24437001;St Laurent Vign
24452001;St Martial Viveyrols
24455001;St Martin Rib.
24520005;Sarlat
24554001;La Tour Blanche
25007001;Adam-les-vercel
25021001;Arc-et-senans
25056001;Besancon
25127001;Charquemont
25195001;Dannemarie-sur-
25219002;Epenoy
25315001;L'isle-ecole
25320001;Labergement
25334001;Levier_sapc
25348002;Longevilles
25356003;Maiche
25372001;Mediere
25388002;Montbeliard
25411005;Morteau Sa
25413001;Mouthe
25453001;Pierrefontaine
25462001;Pontarlier
25468001;Pouligney
25512001;Le Russey
